"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_011","Neg M A_1",100,"negative",,"manner",,"A","leaf","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Neg 0 D_1",100,"negative",,"none",,"D","plank","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_012","Aff M A_1",73,"affirmative",,"manner",,"A","leaf","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Aff M D_1",74,"affirmative",,"manner",,"D","plank","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Neg M C_1",75,"negative",,"manner",,"C","paper","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Neg P E_1",77,"negative",,"path",,"E","chair","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Neg C D_1",85,"negative",,"conflated",,"D","plank","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Neg P A_1",85,"negative",,"path",,"A","leaf","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Aff P C_1",86,"affirmative",,"path",,"C","paper","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Aff C E_1",90,"affirmative",,"conflated",,"E","chair","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Aff C B_1",93,"affirmative",,"conflated",,"B","car","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_012","Neg 0 B_1",94,"negative",,"none",,"B","car","1",,7.94145242803019,,TRUE,
"baseline2","baseline2_013","Neg M E_1",0,"negative",,"manner",,"E","chair","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Aff 0 E_1",0,"affirmative",,"none",,"E","chair","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Aff P A_1",10,"affirmative",,"path",,"A","leaf","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Neg M A_1",10,"negative",,"manner",,"A","leaf","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Aff M C_1",10,"affirmative",,"manner",,"C","paper","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Neg P C_1",20,"negative",,"path",,"C","paper","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Aff P D_1",20,"affirmative",,"path",,"D","plank","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Neg 0 D_1",20,"negative",,"none",,"D","plank","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Aff 0 B_1",60,"affirmative",,"none",,"B","car","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_013","Neg C B_1",60,"negative",,"conflated",,"B","car","1",,21.8326971917504,,TRUE,
"baseline2","baseline2_014","Neg M B_1",12,"negative",,"manner",,"B","car","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Aff C A_1",17,"affirmative",,"conflated",,"A","leaf","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Neg P D_1",17,"negative",,"path",,"D","plank","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Aff P B_1",22,"affirmative",,"path",,"B","car","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Neg C C_1",60,"negative",,"conflated",,"C","paper","1",,33.9131243031367,,TRUE,
