"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline1","baseline1_012","Neg P C_1",0,"negative",,,"path","C","paper","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Neg M A_1",0,"negative",,,"manner","A","leaf","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Neg C B_1",0,"negative",,,"conflated","B","car","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Aff C D_1",85,"affirmative",,,"conflated","D","plank","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Aff P A_1",100,"affirmative",,,"path","A","leaf","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Aff M C_1",100,"affirmative",,,"manner","C","paper","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Aff C E_1",100,"affirmative",,,"conflated","E","chair","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Neg 0 D_1",100,"negative",,,"no_motion","D","plank","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_013","Neg P C_1",0,"negative",,,"path","C","paper","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Neg P E_1",4,"negative",,,"path","E","chair","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Neg C B_1",5,"negative",,,"conflated","B","car","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Neg M A_1",23,"negative",,,"manner","A","leaf","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Aff 0 B_1",29,"affirmative",,,"no_motion","B","car","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Aff M C_1",89,"affirmative",,,"manner","C","paper","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Aff P A_1",90,"affirmative",,,"path","A","leaf","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Aff C D_1",92,"affirmative",,,"conflated","D","plank","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Neg 0 D_1",93,"negative",,,"no_motion","D","plank","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_013","Aff C E_1",97,"affirmative",,,"conflated","E","chair","1",,43.0833816892056,,TRUE,
"baseline1","baseline1_014","Neg M C_1",0,"negative",,,"manner","C","paper","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Aff 0 D_1",0,"affirmative",,,"no_motion","D","plank","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Neg C A_1",0,"negative",,,"conflated","A","leaf","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Neg C D_1",0,"negative",,,"conflated","D","plank","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Neg M E_1",0,"negative",,,"manner","E","chair","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Aff M A_1",29,"affirmative",,,"manner","A","leaf","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Neg 0 B_1",67,"negative",,,"no_motion","B","car","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Aff P E_1",71,"affirmative",,,"path","E","chair","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Aff C C_1",73,"affirmative",,,"conflated","C","paper","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_014","Aff C B_1",84,"affirmative",,,"conflated","B","car","1",,36.9058863115959,,TRUE,
"baseline1","baseline1_015","Neg C C_1",1,"negative",,,"conflated","C","paper","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Neg M B_1",2,"negative",,,"manner","B","car","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Aff 0 C_1",3,"affirmative",,,"no_motion","C","paper","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Neg 0 E_1",6,"negative",,,"no_motion","E","chair","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Neg P D_1",6,"negative",,,"path","D","plank","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Neg 0 A_1",24,"negative",,,"no_motion","A","leaf","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Aff M D_1",66,"affirmative",,,"manner","D","plank","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Aff P B_1",67,"affirmative",,,"path","B","car","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Aff C A_1",80,"affirmative",,,"conflated","A","leaf","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_015","Aff M E_1",93,"affirmative",,,"manner","E","chair","1",,37.1866164694295,,TRUE,
"baseline1","baseline1_016","Neg P E_1",0,"negative",,,"path","E","chair","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Aff 0 B_1",0,"affirmative",,,"no_motion","B","car","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Neg P C_1",0,"negative",,,"path","C","paper","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Neg C B_1",0,"negative",,,"conflated","B","car","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Aff C D_1",91,"affirmative",,,"conflated","D","plank","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Neg M A_1",91,"negative",,,"manner","A","leaf","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Aff P A_1",93,"affirmative",,,"path","A","leaf","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Neg 0 D_1",97,"negative",,,"no_motion","D","plank","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Aff M C_1",100,"affirmative",,,"manner","C","paper","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_016","Aff C E_1",100,"affirmative",,,"conflated","E","chair","1",,49.3306305565934,,TRUE,
"baseline1","baseline1_017","Aff 0 D_1",0,"affirmative",,,"no_motion","D","plank","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Neg C D_1",0,"negative",,,"conflated","D","plank","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Neg M E_1",0,"negative",,,"manner","E","chair","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Aff M A_1",2,"affirmative",,,"manner","A","leaf","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Neg M C_1",9,"negative",,,"manner","C","paper","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Neg C A_1",12,"negative",,,"conflated","A","leaf","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Neg 0 B_1",32,"negative",,,"no_motion","B","car","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Aff C C_1",54,"affirmative",,,"conflated","C","paper","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Aff C B_1",56,"affirmative",,,"conflated","B","car","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_017","Aff P E_1",93,"affirmative",,,"path","E","chair","1",,32.1413544622293,,TRUE,
"baseline1","baseline1_018","Aff 0 A_1",0,"affirmative",,,"no_motion","A","leaf","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Neg C E_1",0,"negative",,,"conflated","E","chair","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Neg P B_1",0,"negative",,,"path","B","car","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Neg P A_1",0,"negative",,,"path","A","leaf","1",,39.6293942533682,,TRUE,
